Week,Date,Resident_AA,Resident_AB,Resident_AC,Resident_AD,Resident_AE,Resident_AF,Resident_AG,Resident_AH,Resident_AI,Resident_AJ,Resident_AK,Resident_AL,Resident_AM,Resident_AN,Resident_AO,Resident_AP,Resident_AQ,Resident_AR,Resident_AS,Resident_AT,Resident_AU,Resident_AV,Resident_AW,Resident_AX,Resident_AY,Resident_AZ,Resident_BA,Resident_BB,Resident_BC,Resident_BD
1,2026-06-29,ORIENTATION,ORIENTATION,ORIENTATION,ORIENTATION,ORIENTATION,ORIENTATION,ORIENTATION,GU,BRST,CHEM,GYN,VA,DERM,BST,GI,AUTOPSY,CORE,CORE,CORE,CORE,CORE,CORE,CORE,CORE,MENTORSHIP,MENTORSHIP,MENTORSHIP,MENTORSHIP,OTHER,OTHER
2,2026-07-06,BST,GI,VA,AUTOPSY,DERM,GYN,HNL,,,,,VA,,AUTOPSY,MENTORSHIP,OTHER,CORE,CORE,CORE,CORE,CORE,CORE,CORE,CORE,MENTORSHIP,MENTORSHIP,MENTORSHIP,MENTORSHIP,OTHER,OTHER
3,2026-07-13,BST,GI,VA,AUTOPSY,DERM,GYN,HNL,,,,,VA,,AUTOPSY,MENTORSHIP,OTHER,CORE,CORE,CORE,CORE,CORE,CORE,CORE,CORE,MENTORSHIP,MENTORSHIP,MENTORSHIP,MENTORSHIP,OTHER,OTHER
4,2026-07-20,VA,HNL,VA,AUTOPSY,GI,BST,GYN,,,,,,,AUTOPSY,MENTORSHIP,OTHER,CORE,CORE,CORE,CORE,CORE,CORE,CORE,CORE,MENTORSHIP,MENTORSHIP,MENTORSHIP,MENTORSHIP,OTHER,VACATION
5,2026-07-27,VA,HNL,VA,AUTOPSY,GI,BST,GYN,,,,,,,KCME,,OTHER,,,,,,,,,MENTORSHIP,,MENTORSHIP,,OTHER,OTHER
6,2026-08-03,VA,DERM,VA,GYN,BST,HNL,AUTOPSY,,,,,,,KCME,,OTHER,,,,,,,,,,,,,OTHER,OTHER
7,2026-08-10,VA,DERM,VA,GYN,BST,HNL,AUTOPSY,,,,,,,KCME,,OTHER,,,,,,,,,,,,,OTHER,OTHER
8,2026-08-17,VA,GYN,VA,DERM,HNL,,AUTOPSY,,,,,,,KCME,,OTHER,,,,,,,,,,,,,OTHER,OTHER
9,2026-08-24,VA,GYN,VA,DERM,HNL,,AUTOPSY,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
10,2026-08-31,VA,,VACATION,GI,,,AUTOPSY,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
11,2026-09-07,VA,,VA,GI,,,VACATION,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
12,2026-09-14,VA,,VA,HNL,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
13,2026-09-21,VA,,VA,HNL,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
14,2026-09-28,VA,,VA,,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
15,2026-10-05,VA,,BST,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,VACATION
16,2026-10-12,VA,,BST,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
17,2026-10-19,GYN,VA,GI,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
18,2026-10-26,GYN,VA,GI,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
19,2026-11-02,GI,VA,HNL,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
20,2026-11-09,GI,VA,HNL,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
21,2026-11-16,,VACATION,,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
22,2026-11-23,,VA,,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,VACATION,OTHER
23,2026-11-30,,VA,,,,VA,,,VACATION,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
24,2026-12-07,,VA,,,,VA,,,VACATION,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
25,2026-12-14,,VA,,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,OTHER
26,2026-12-21,,VA,,,,VA,,,,,,,,,,OTHER,,,,,,,,,,,,,VACATION,VACATION
27,2026-12-28,,VA,,,,VACATION,,,,,,,,,,OTHER,,,,,,,,,,,,,VACATION,
28,2027-01-04,,VA,,,VA,,,,,,,,,,,OTHER,,,,,,,,,,OTHER,,OTHER,VACATION,
29,2027-01-11,,VA,,,VA,,,, ,,,,,,,OTHER,,,,,,,,,,OTHER,,OTHER,OTHER,
30,2027-01-18,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,OTHER,,OTHER,OTHER,
31,2027-01-25,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,OTHER,,VACATION,OTHER,
32,2027-02-01,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,OTHER,,INFO,OTHER,
33,2027-02-08,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,,,INFO,OTHER,
34,2027-02-15,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,,,INFO,OTHER,
35,2027-02-22,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,,,INFO,OTHER,
36,2027-03-01,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
37,2027-03-08,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,VACATION
38,2027-03-15,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
39,2027-03-22,,,,,VA,,VACATION,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
40,2027-03-29,,,,,VA,,VA,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
41,2027-04-05,,,,,,,VA,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
42,2027-04-12,,,,,,,VA,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
43,2027-04-19,,,,VA,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
44,2027-04-26,,,,VA,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
45,2027-05-03,,,,VA,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
46,2027-05-10,,,,VA,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
47,2027-05-17,,,,VA,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
48,2027-05-24,,,,VACATION,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
49,2027-05-31,,,,VA,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
50,2027-06-07,,,,VA,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
51,2027-06-14,,,,VA,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
52,2027-06-21,,,,VA,,,,,,,,,,,,OTHER,,,,,,,,,,,,,OTHER,
